Marker1	Marker2	sampleSize	variableSize	F	coefficient.0	tvalue.0	pvalue.0	coefficient.1	tvalue.1	pvalue.1
hsa-miR-1	A1BG	50	2	3.007354	6.110167	21.193501	5.175699e-26	-0.075954	-1.734172	0.089306
hsa-miR-1	A1BG-AS1	50	2	0.142565	4.892404	14.602308	2.770453e-19	0.019218	0.377578	0.707409
hsa-miR-1	A1CF	50	2	1.833434	3.0614	12.093513	3.522438e-16	0.052073	1.354043	0.182064
hsa-miR-1	A2M	50	2	0.000351	4.029235	12.077754	3.693469e-16	-0.000949	-0.01873	0.985134
hsa-miR-1	A2M-AS1	50	2	0.513933	8.277054	9.095062	5.14143e-12	-0.099113	-0.716891	0.476916
hsa-miR-1	A2ML1	50	2	0.518956	2.746952	11.208529	5.306278e-15	0.026821	0.720387	0.474781
hsa-miR-1	A2MP1	50	2	0.994073	3.901778	9.179657	3.865094e-12	0.064381	0.997032	0.323749
hsa-miR-1	A4GALT	50	2	6.172074	4.379808	19.925711	7.432767e-25	0.08296	2.484367	0.016519
hsa-miR-1	A4GNT	50	2	0.171737	4.65319	13.941184	1.68942e-18	-0.021013	-0.414411	0.680419
hsa-miR-1	AA06	50	2	3.518521	3.717618	10.316124	9.053183e-14	0.102692	1.875772	0.066775
hsa-miR-1	AAAS	50	2	0.548519	5.526586	14.608099	2.727556e-19	0.042567	0.740622	0.462531
hsa-miR-1	AACS	50	2	0.006231	6.548554	27.054764	1.028804e-30	0.002903	0.078937	0.937411
hsa-miR-1	AACSP1	50	2	0.339154	2.983842	7.961905	2.514274e-10	0.033156	0.582369	0.563044
hsa-miR-1	AADAC	50	2	0.066337	3.564776	12.390306	1.450872e-16	-0.011257	-0.25756	0.797848
hsa-miR-1	AADACL2	50	2	0.162491	2.18406	6.537261	3.770297e-08	-0.020459	-0.403103	0.688663
hsa-miR-1	AADACP1	50	2	0.398906	2.062345	4.613129	3e-05	0.042895	0.63159	0.530651
hsa-miR-1	AADAT	50	2	0.819488	2.900444	8.145598	1.328084e-10	0.048969	0.905255	0.369852
hsa-miR-1	AAED1	50	2	1.309571	7.019581	18.273809	2.94512e-23	-0.066781	-1.144365	0.258147
hsa-miR-1	AAGAB	50	2	4.552686	4.533921	16.227482	4.0392e-21	0.090566	2.133702	0.038005
hsa-miR-1	AAK1	50	2	4.4779	6.430734	13.839556	2.241172e-18	-0.149377	-2.116105	0.039549
hsa-miR-1	AAMDC	50	2	0.112152	4.736608	13.955177	1.625103e-18	0.017268	0.33489	0.739167
hsa-miR-1	AAMP	50	2	0.570581	8.013964	42.788528	6.930804e-40	-0.021493	-0.755368	0.453719
hsa-miR-1	AANAT	50	2	0.555043	3.061036	8.096798	1.573091e-10	-0.042789	-0.745012	0.459897
hsa-miR-1	AAR2	50	2	0.097486	7.157066	39.843777	1.937631e-38	0.00852	0.312226	0.756221
hsa-miR-1	AARS	50	2	0.001091	7.838776	29.750706	1.38522e-32	-0.001322	-0.033037	0.973782
hsa-miR-1	AARS2	50	2	2.154054	6.810594	25.940626	6.822737e-30	-0.058539	-1.46767	0.148716
hsa-miR-1	AARSD1	50	2	0.032066	6.144393	23.434698	6.304806e-28	-0.007133	-0.179068	0.858638
hsa-miR-1	AASDH	50	2	0.863857	7.017805	24.251932	1.37926e-28	-0.040859	-0.929439	0.357312
hsa-miR-1	AASDHPPT	50	2	0.822546	7.943464	28.510288	9.609439e-32	-0.038388	-0.906943	0.368968
hsa-miR-1	AASS	50	2	0.124774	2.597364	7.402372	1.781597e-09	0.018829	0.353233	0.72546
hsa-miR-1	AATF	50	2	0.050548	8.816026	36.954998	6.422097e-37	-0.008148	-0.224829	0.823066
hsa-miR-1	AATK	50	2	2.021977	7.752315	25.577572	1.283354e-29	0.065474	1.421963	0.161503
