symbol	GSM2774694	GSM2700245	GSM2774692	GSM3685853	GSM2226785	GSM2477389	GSM3936840	GSM2226791	GSM2700243	GSM3685848	GSM2477394	GSM2226789	GSM2226786	GSM3685849	GSM1855318	GSM2226784	GSM2700241	GSM2226792	GSM2774696	GSM2226788	GSM2700240	GSM3685850	GSM1855317	GSM3685851	GSM1855321
hsa-miR-1	5.824448494	5.853799861	5.489934283	5.898712154	5.909850403	5.729477526	5.428577337	5.33714125	5.75930707	5.490513326	5.704730246	5.345008464	5.558898225	5.842061739	5.33398959	5.788094136	5.998898602	5.737535917	6.164748772	5.435298749	6.187971555	5.755732183	5.373141909	6.058906701	5.293278832
hsa-miR-100	4.955792201	4.850839744	4.881181316	5.08535687	4.82190224	5.491790192	4.917713151	5.062162014	5.120728981	4.761268433	5.352955004	5.052022161	5.05280598	5.001705577	5.002675576	5.080863273	4.737921937	5.308902016	4.884511266	5.310992263	5.15487817	4.996632478	5.006714097	5.02084615	4.690133339
hsa-miR-100*	3.616504777	3.61045729	3.039957295	3.247416297	3.470828657	3.270695126	3.329581899	3.489609203	3.446289673	3.595154949	3.242008321	3.191007866	3.389800724	2.917242122	3.467646419	3.350443381	3.23152821	3.475368734	3.296980354	3.737570759	3.496370933	3.577689037	3.235364092	3.628069478	3.292708798
hsa-miR-101	4.053278032	4.006186421	4.149825644	3.594309561	3.860226388	3.947635567	4.083955938	4.360889875	3.73456593	3.701101106	4.204938504	3.93220405	3.960066092	3.789635493	4.221903369	4.112531317	3.717060048	4.382954044	4.118122372	4.779335108	3.789845542	3.874110925	4.068616166	4.211099641	4.257620811
hsa-miR-101*	7.698870286	7.67949119	8.520735434	7.406014673	7.742348561	9.110538127	6.453924316	8.410608982	8.127716055	6.396918755	8.578224846	6.96892081	8.071387559	7.43044575	7.76370489	8.982452392	7.212491017	8.358833274	8.077262777	7.602941588	6.960958158	8.366517629	8.170046171	6.53062959	8.167693408
hsa-miR-103	3.079148099	2.894785229	2.959164629	2.828273711	3.213584092	3.155002473	2.68188903	2.856059808	2.919851905	3.182872031	3.294170636	2.979265133	2.770020136	2.738567428	2.970938289	2.918176844	2.730727131	2.782404943	2.760918	2.894609814	2.521632067	2.729506045	3.104818399	2.7242062	2.924757681
hsa-miR-103-2*	3.597110824	5.03872843	4.339598964	4.303505549	4.042215762	4.390505704	4.19234832	4.43977612	4.1824745	4.085094684	4.331189345	4.756342824	4.314298127	4.243144542	4.424894196	3.511923402	4.504950988	4.01034643	4.152904262	4.087147709	3.872676643	4.244612313	4.574354018	4.28356754	4.034958366
hsa-miR-103-as	4.466756399	4.884406399	4.887933732	4.950012907	5.036633781	4.921380848	4.76105642	5.032917278	4.850522194	4.912099369	4.640719513	5.054082988	4.867725895	4.914449674	4.928360722	4.783370791	4.602982944	4.778193634	4.71919351	4.994797048	5.254885202	5.189468615	5.083676566	4.577053914	5.389821078
hsa-miR-105	4.656013155	4.94506762	4.189713491	4.468756386	4.568949421	4.725320654	4.783724998	4.988466425	3.931686988	4.618754687	4.06730885	4.147615484	4.65233119	4.731311045	4.918252088	4.528805	4.458463377	4.766464544	4.70838686	4.6344145	4.271170812	4.428384956	4.845918945	4.466129392	4.600093306
hsa-miR-105*	3.864748286	4.413426713	4.639845896	4.137997471	4.203623506	4.371885958	4.305698042	4.53803492	4.305267205	4.755427654	4.28507096	4.60318211	4.353710866	4.213317321	4.294881498	4.377280916	4.192982393	4.31360942	4.343663535	4.507195349	4.555090198	4.019773994	4.735772617	4.648213241	4.382507789
hsa-miR-106a*	6.249579184	5.03260565	5.97478857	5.822966394	5.78502984	6.175543989	5.85146329	5.857191276	5.867251635	5.639844863	5.88752543	6.314834347	5.566129493	5.448752417	5.776873313	6.15192441	5.784896973	6.26520611	5.835131959	5.363922015	5.616461965	5.45495344	5.987147914	5.23310658	5.339695386
